DistVDC	No.
Nuwakot-KHADAG BHANJYANG	102.0
Nuwakot-KHARANITAR	28.0
Nuwakot-KHOLEGAUN KHANIGAUN	87.0
Nuwakot-KINTANG	26.0
Nuwakot-KUMARI	119.0
Nuwakot-LACHYANG	56.0
Nuwakot-LIKHU	46.0
Nuwakot-MADANPUR	139.0
Nuwakot-MAHAKALI	63.0
Nuwakot-MANAKAMANA	54.0
Nuwakot-NARJAMANDAP	66.0
Nuwakot-OKHARPAUWA	97.0
Nuwakot-PANCHKANYA	40.0
Nuwakot-RALUKADEVI	74.0
Nuwakot-RATMATE	55.0
Nuwakot-RAUTBESI	59.0
Nuwakot-SALME	25.0
Nuwakot-SAMARI	31.0
Nuwakot-SAMUNDRADEVI	47.0
Nuwakot-SAMUNDRATAR	40.0
Nuwakot-SHIKHARBESI	64.0
Nuwakot-SIKRE	38.0
Nuwakot-SUNDARADEVI	39.0
Nuwakot-SUNKHANI	54.0
Nuwakot-SURYAMATI	59.0
Nuwakot-TALAKHU	47.0
Nuwakot-TARUKA	88.0
Nuwakot-THANAPATI	58.0
Nuwakot-THANSING	133.0
Nuwakot-THAPREK	60.0
Nuwakot-TUPCHE	107.0
Nuwakot-URLENI	71.0
Okhaldhunga-ANDHERI (NARAYANSTHAN)	51.0
Okhaldhunga-BAKSA	53.0
Okhaldhunga-BALAKHU	69.0
Okhaldhunga-BARNALU	57.0
Okhaldhunga-BARUNESHWOR	82.0
Okhaldhunga-BETINI	24.0
Okhaldhunga-BHADAURE	45.0
Okhaldhunga-BHUSSINGA	29.0
Okhaldhunga-BIGUTAR	49.0
Okhaldhunga-BILANDU	44.0
Okhaldhunga-CHYANAM	59.0
Okhaldhunga-DIYALE	50.0
Okhaldhunga-FEDIGUTH	80.0
Okhaldhunga-FULBARI	64.0
Okhaldhunga-GAMNANGTAR	54.0
Okhaldhunga-HARKAPUR	52.0
Okhaldhunga-JANTARKHANI	27.0
Okhaldhunga-JYAMIRE	58.0
Okhaldhunga-KALIKADEVI	40.0
Okhaldhunga-KAPTIGAUN (KHIGIKATI)	32.0
Okhaldhunga-KATUNJE	64.0
Okhaldhunga-KETUKE	52.0
Okhaldhunga-KHIJICHANDESHWORI	27.0
Okhaldhunga-KHIJIFALATE	63.0
Okhaldhunga-KUIBHIR	36.0
Okhaldhunga-KUNTADEVI	38.0
Okhaldhunga-MADHAVPUR	26.0
Okhaldhunga-MAMKHA	67.0
Okhaldhunga-MANE BHANJYANG	46.0
Okhaldhunga-MOLI	36.0
Okhaldhunga-MULKHARKA	66.0
Okhaldhunga-NARMEDESHWOR	34.0
Okhaldhunga-OKHALDHUNGA	91.0
Okhaldhunga-PALAPU	57.0
Okhaldhunga-PALTE	64.0
Okhaldhunga-POKALI	37.0
Okhaldhunga-POKHARE	36.0
Okhaldhunga-PRAPCHA	30.0
Okhaldhunga-RAGADEEP	38.0
Okhaldhunga-RAGANI	62.0
Okhaldhunga-RANIBAN	39.0
Okhaldhunga-RATMATA	44.0
Okhaldhunga-RAWADOLU	29.0
Okhaldhunga-RUMJATAR	53.0
Okhaldhunga-SALLERI	36.0
Okhaldhunga-SERNA	30.0
Okhaldhunga-SHREECHAUR	52.0
Okhaldhunga-SINGHADEVI	47.0
Okhaldhunga-SISNERI	77.0
Okhaldhunga-TALUWA	36.0
Okhaldhunga-TARKERABARI	41.0
Okhaldhunga-THAKLE	45.0
Okhaldhunga-THOKSEL	51.0
Okhaldhunga-THULACHHAP	58.0
Okhaldhunga-UBU	67.0
Okhaldhunga-YASAM	52.0
Palpa-ARCHALE	40.0
Palpa-ARGALI	78.0
Palpa-BAHADURPUR	27.0
Palpa-BALDENGADHI	31.0
Palpa-BANDIPOKHARA	60.0
Palpa-BARANGDI	55.0
Palpa-BHAIRABSTHAN	54.0
Palpa-BHUWAN POKHARI	109.0
Palpa-BIRKOT	47.0
Palpa-BODHA POKHARATHOK	40.0
Palpa-BOUDHAGUMBA	47.0
Palpa-CHAPPANI	46.0
Palpa-CHHAHARA	87.0
Palpa-CHIDIPANI	65.0
Palpa-CHIRTUNG DHARA	63.0
Palpa-DARCHHA	108.0
Palpa-DARLAMDANDA	56.0
Palpa-DEURALI	61.0
Palpa-DEVINAGAR	60.0
Palpa-DOBHAN	116.0
Palpa-FEK	62.0
Palpa-FOKSINGKOT	68.0
Palpa-GADAKOT	91.0
Palpa-GALDHA	59.0
Palpa-GEJHA	94.0
Palpa-GOTHADI	61.0
Palpa-HAKLANG	53.0
Palpa-HUMIN	43.0
Palpa-HUNGI	74.0
Palpa-JALPA	62.0
Palpa-JHADEWA	83.0
Palpa-JHIRUBAS	18.0
Palpa-JUTHAPAUWA	56.0
Palpa-JYAMIRE	31.0
Palpa-KACHAL	54.0
Palpa-KASENI	80.0
Palpa-KHALIBAN	105.0
Palpa-KHANICHHAP	42.0
Palpa-KHANIGAU	39.0
Palpa-KHASYOLI	62.0
Palpa-KHYAHA	50.0
Palpa-KOLDADA	45.0
Palpa-KUSUMKHOLA	47.0
Palpa-MADANPOKHARA	121.0
Palpa-MASYAM	79.0
Palpa-MITYAL	52.0
Palpa-MUJHUNG	48.0
Palpa-NAYARNAMTALES	44.0
Palpa-PALUNGMAINADI	43.0
Palpa-PIPALDADA	100.0
Palpa-POKHARATHOK	46.0
Palpa-RAHABAS	30.0
Palpa-RAMPUR	120.0
Palpa-RINGNERAHA	28.0
Palpa-RUPSE	39.0
Palpa-SAHALKOT	26.0
Palpa-SATYAWATI	51.0
Palpa-SIDDHESHWOR	45.0
Palpa-SILUWA	88.0
Palpa-SOMADI	50.0
Palpa-TAHU	76.0
Palpa-TANSEN MUNICIPALITY	3,225.0
Palpa-TELGHA	64.0
Palpa-TIMURE	43.0
Palpa-WAKAMALANG	45.0
Palpa-YAMGHA	92.0
Panchthar-AANGNA	46.0
Panchthar-AANGSARANG	85.0
Panchthar-AARUBOTE	88.0
Panchthar-AMARPUR	112.0
Panchthar-BHARAPA	135.0
Panchthar-CHILINGDIN	58.0
Panchthar-CHOKMAGU	66.0
Panchthar-CHYANGTHAPU	44.0
Panchthar-DURDIMBA	56.0
Panchthar-EKTEEN	107.0
Panchthar-EMBUNG	45.0
Panchthar-FALAICHA	53.0
Panchthar-HANGUM	64.0
Panchthar-KURUMBA	72.0
Panchthar-LIMBA	71.0
Panchthar-LUNGRUPA	83.0
Panchthar-LUWAMFU	41.0
Panchthar-MANGJABUNG	60.0
Panchthar-MAUWA	76.0
Panchthar-MEMENG	94.0
Panchthar-NAGI	73.0
Panchthar-NANGEEN	105.0
Panchthar-NAWAMIDANDA	74.0
Panchthar-OLANE	42.0
Panchthar-OYAM	62.0
Panchthar-PANCHAMI	95.0
Panchthar-PAUWASARTAP	74.0
Panchthar-PHAKTEP	84.0
Panchthar-PHIDIM	251.0
Panchthar-PRANGBUNG	72.0
Panchthar-RABI	68.0
Panchthar-RANIGAUN	65.0
Panchthar-RANITAR	117.0
Panchthar-SARANGDANDA	104.0
Panchthar-SIDIN	81.0
Panchthar-SIWA	65.0
Panchthar-SUMANG	88.0
Panchthar-SYANGRUMBA	55.0
Panchthar-THARPU	65.0
Panchthar-YANGANAM	76.0
Panchthar-YASOK	96.0
Parbat-ARTHARDADAKHARKA	63.0
Parbat-BACHCHHA	41.0
Parbat-BAHAKITHANTI	33.0
Parbat-BAJUNG	85.0
Parbat-BALAKOT	34.0
Parbat-BANOU	29.0
Parbat-BASKHARKA	24.0
Parbat-BEHULIBANS	50.0
Parbat-BHANGARA	52.0
Parbat-BHOKSING	23.0
Parbat-BHORLE	35.0
Parbat-BHUKTANGLE	62.0
Parbat-BIHADIBARACHAUR	42.0
Parbat-BIHADIRANIPANI	54.0
Parbat-BITALAWAPIPALTARI	55.0
Parbat-CHITRE	42.0
Parbat-CHUWA	36.0
Parbat-DEUPURKOT	74.0
Parbat-DEURALI	40.0
Parbat-DHAIRING	53.0
Parbat-DURLUNG	58.0
Parbat-FALAMKHANI	18.0
Parbat-FALEBAS DEVISTHAN	59.0
Parbat-FULEBASKHANI GAUN	35.0
Parbat-HOSRANGDI	39.0
Parbat-HUWAS	78.0
Parbat-KARKINETA	44.0
Parbat-KATUWACHAUPARI	38.0
Parbat-KHAULALAKURI	47.0
Parbat-KHURKOT	84.0
Parbat-KURGHA	72.0
Parbat-KYANG	38.0
Parbat-LEKHFANT	58.0
Parbat-LIMITHANA	33.0
Parbat-LUNKHU DEURALI	61.0
Parbat-MAJHPHANTMALLAJ	106.0
Parbat-MUDIKUWA	27.0
Parbat-NAGLIWANG	59.0
Parbat-PAKHAPANI	41.0
Parbat-PAKUWA	56.0
Parbat-PANG	104.0
Parbat-PANGRANG	58.0
Parbat-RAMJADEURALI	45.0
Parbat-SALIGRAM	44.0
Parbat-SALIJA	59.0
Parbat-SARAUKHOLA	39.0
Parbat-SHANKAR POKHARI	88.0
Parbat-SHIVALAYA	200.0
Parbat-TAKLAK	29.0
Parbat-THANAMAULO	24.0
Parbat-THAPATHANA	58.0
Parbat-THULI POKHARI	63.0
Parbat-TILAHAR	114.0
Parbat-TRIBENI	37.0
Parbat-URAM POKHARA	50.0
Parsa-ALAU	75.0
Parsa-AMARPATTI	45.0
Parsa-AURAHA	71.0
Parsa-BAGAHI	48.0
Parsa-BAGBANA	104.0
Parsa-BAGESHWARI TIRTRONA	70.0
Parsa-BAHAURIPIDARI	72.0
Parsa-BAHUARBAMATHA	75.0
Parsa-BASADILWA	65.0
Parsa-BASANTPUR	80.0
Parsa-BELWAPARSOUNI	92.0
Parsa-BERIYABIRTA	46.0
Parsa-BERIYABIRTA (WA.PU.)	51.0
Parsa-BHAWANIPUR	74.0
Parsa-BHEDIHARI	57.0
Parsa-BHISAWA	44.0
Parsa-BIJBANIYA	37.0
Parsa-BINDABASINI	52.0
Parsa-BIRANCHIBARBA	28.0
Parsa-BIRGUNJ MUNICIPALITY	1,481.0
Parsa-BIRWAGUTHI	146.0
Parsa-BISRAMPUR	68.0
Parsa-CHORNI	96.0
Parsa-DEUKHANA	61.0
Parsa-DHAUBINI	69.0
Parsa-DHORE	56.0
Parsa-GADI	57.0
Parsa-GAMHARIYA	48.0
Parsa-GHODDAUDA PIPRA	30.0
Parsa-GOVINDAPUR	37.0
Parsa-HARIHARPUR	51.0
Parsa-HARIHARPUR BIRTA	31.0
Parsa-HARPATAGUNJ	52.0
Parsa-HARPUR	74.0
Parsa-JAGARANATHPURSIRA	69.0
Parsa-JAIMANGALAPUR	67.0
Parsa-JANAKITALA	43.0
Parsa-JEETPUR	89.0
Parsa-JHOUWAGUTHI	71.0
Parsa-KAUWABANKATAIYA	47.0
Parsa-LAHAWARTHAKARI	46.0
Parsa-LAKHANPUR	72.0
Parsa-LALPARSA	24.0
Parsa-LANGADI	46.0
Parsa-LIPANIBIRTA	65.0
Parsa-MADHUBANMATHAUL	81.0
Parsa-MAHADEVPATTI	86.0
Parsa-MAHUWAN	52.0
Parsa-MAINPUR (PAKAHA)	45.0
Parsa-MANIYARI	60.0
Parsa-MASIHANI	73.0
Parsa-MIKHAMPUR	50.0
Parsa-MIRJAPUR	33.0
Parsa-MUDALI	62.0
Parsa-NAGARDAHA	43.0
Parsa-NICHUTA	78.0
Parsa-NIRMALBASTI	152.0
Parsa-PANCHARUKHI	57.0
Parsa-PARSAUNIBIRTA	49.0
Parsa-PARSAUNIMATHA	48.0
Parsa-PIDARIGUTHI	55.0
Parsa-POKHARIYA	73.0
Parsa-PRASURAMPUR	19.0
Parsa-RAMGADHAWA	57.0
Parsa-RAMNAGARI	38.0
Parsa-SABAITHAWA	45.0
Parsa-SAKHUWA PRASAUNI	101.0
Parsa-SAMJHAUTA	88.0
Parsa-SANKARSARAIYA	61.0
Parsa-SEDHAWA	33.0
Parsa-SHIVAWORGA	58.0
Parsa-SIRSIYAKHALWATOLA	62.0
Parsa-SONBARSA	83.0
Parsa-SREESIYA (NAU.TA.JA.)	33.0
Parsa-SUBARNAPUR	55.0
Parsa-SUGAULI BIRTA	74.0
Parsa-SUGAULI PARTEWA	72.0
Parsa-SUPAULI	38.0
Parsa-SURJAHA	41.0
Parsa-THORI	120.0
Parsa-TULASIBARBA	37.0
Parsa-UDAYAPURDHURMI	88.0
Parsa-VAURATAR	94.0
Pyuthan-ARKHA	75.0
Pyuthan-BADIKOT	92.0
Pyuthan-BANGESAL	85.0
Pyuthan-BARAULA	67.0
Pyuthan-BARJIWANG	44.0
Pyuthan-BELWASPUR	99.0
Pyuthan-BHINGRI	108.0
Pyuthan-BIJAYANAGAR	82.0
Pyuthan-BIJUBAR	134.0
Pyuthan-BIJULI	75.0
Pyuthan-CHUJA	100.0
Pyuthan-DAKHAKWADI	105.0
Pyuthan-DAMRI	61.0
Pyuthan-DANGWANG	74.0
Pyuthan-DHARAMPANI	63.0
Pyuthan-DHARMAWATI	80.0
Pyuthan-DHOBAGHAT (UDAYAPURKOT)	47.0
Pyuthan-DHUWANG	53.0
Pyuthan-DUNGEGADI	55.0
Pyuthan-GOTHIWANG	83.0
Pyuthan-HANSAPUR	53.0
Pyuthan-JUMRIKANDA	60.0
Pyuthan-KHAIRA	70.0
Pyuthan-KHAWANG	87.0
Pyuthan-KHUNG	54.0
Pyuthan-KOCHIWANG	62.0
Pyuthan-LIGHA	40.0
Pyuthan-LIWANG	65.0
Pyuthan-LUNG	67.0
Pyuthan-MAJHAKOT	53.0
Pyuthan-MARANTHANA	100.0
Pyuthan-MARKAWANG	39.0
Pyuthan-NARIKOT	48.0
Pyuthan-NAYAGAUN	60.0
Pyuthan-OKHARKOT	104.0
Pyuthan-PAKALA	67.0
Pyuthan-PHOPLI	126.0
Pyuthan-PUJA	81.0
Pyuthan-PYUTHAN KHALANGA	119.0
Pyuthan-RAJBARA	59.0
Pyuthan-RAMDI	38.0
Pyuthan-RUSPURKOT	48.0
Pyuthan-SARI	73.0
Pyuthan-SWARGADWARI KHAL	90.0
Pyuthan-SYAULIWANG	62.0
Pyuthan-TIRAM	83.0
Pyuthan-TORWANG	82.0
Pyuthan-TUSARA	90.0
Pyuthan-WANGEMAROT	77.0
Ramechhap-BAMTIBHANDAR	47.0
Ramechhap-BETALI	68.0
Ramechhap-BETHAN	109.0
Ramechhap-BHADAURE	55.0
Ramechhap-BHATAULI	52.0
Ramechhap-BHIRPANI	47.0
Ramechhap-BHUJEE	56.0
Ramechhap-BIJULIKOT	100.0
Ramechhap-CHANAKHU	41.0
Ramechhap-CHISAPANI	51.0
Ramechhap-CHUCHURE	57.0
Ramechhap-DADHUWA	78.0
Ramechhap-DEURALI	70.0
Ramechhap-DIMIPOKHARI	72.0
Ramechhap-DORAMBA	58.0
Ramechhap-DURAGAU	61.0
Ramechhap-FARPU	38.0
Ramechhap-GELU	99.0
Ramechhap-GOSWARA	51.0
Ramechhap-GOTHGAU	53.0
Ramechhap-GUMDEL	37.0
Ramechhap-GUNSIBHADAURE	82.0
Ramechhap-GUPTESOR	26.0
Ramechhap-HILEDEVI	55.0
Ramechhap-HIMGANGA	60.0
Ramechhap-KATHJOR	102.0
Ramechhap-KHADADEVI	76.0
Ramechhap-KHANIYAPANI	73.0
Ramechhap-KHIMTI	82.0
Ramechhap-KUBUKASTHALI	42.0
Ramechhap-LAKHANPUR	107.0
Ramechhap-MAJUWA	36.0
Ramechhap-MAKADUM	33.0
Ramechhap-MALUWAJOR	42.0
Ramechhap-MANTHALI	79.0
Ramechhap-NAGADAHA	81.0
Ramechhap-NAMADI	75.0
Ramechhap-OKHRENI	61.0
Ramechhap-PAKARBAS	88.0
Ramechhap-PHULASI	95.0
Ramechhap-PINKHURI	39.0
Ramechhap-PRITEE	96.0
Ramechhap-PURANAGAU	43.0
Ramechhap-RAKATHUM	56.0
Ramechhap-RAMECHHAP	84.0
Ramechhap-RAMPUR	66.0
Ramechhap-RASANALU	76.0
Ramechhap-SAIPU	50.0
Ramechhap-SALUPATI	70.0
Ramechhap-SANGHUTAR	32.0
Ramechhap-SUKAJOR	74.0
Ramechhap-SUNARPANI	44.0
Ramechhap-THOSE	58.0
Ramechhap-TILPUNG	78.0
Ramechhap-TOKARPUR	30.0
Rasuwa-BHORLE	711.0
Rasuwa-BRIDHIM	118.0
Rasuwa-CHILIME	256.0
Rasuwa-DANDAGOUN	229.0
Rasuwa-DHUNCHE	432.0
Rasuwa-GATLANG	257.0
Rasuwa-GOLJUNG	236.0
Rasuwa-HAKU	309.0
Rasuwa-JIBJIBE (NILKANTHA)	683.0
Rasuwa-LAHAREPOUWA	601.0
Rasuwa-LANGTANG	92.0
Rasuwa-RAMCHE	253.0
Rasuwa-SARAMTHALI	554.0
Rasuwa-SYAFRU	283.0
Rasuwa-THULOGOUN	193.0
Rasuwa-THUMAN	179.0
Rasuwa-TIMURE	75.0
Rasuwa-YARSA	526.0
Rautahat-AJAGABI	36.0
Rautahat-AKOLAWA	65.0
Rautahat-AURAIYA	75.0
Rautahat-BADHARWA	89.0
Rautahat-BAGAHI	52.0
Rautahat-BAHUWA MADANPUR	27.0
Rautahat-BAIRIYA	38.0
Rautahat-BANJARAHA	37.0
Rautahat-BARIYARPUR	82.0
Rautahat-BASANTAPATTI	72.0
Rautahat-BASATPUR	55.0
Rautahat-BASBITIJINGADIYA	62.0
Rautahat-BHALOHIYA (PIPRA)	44.0
Rautahat-BHEDIYAHI	43.0
Rautahat-BIRTIPRASTOKA	52.0
Rautahat-BISHRAMPUR	110.0
Rautahat-BISUNPURWAMANPUR	37.0
Rautahat-BRAHMAPURI	52.0
Rautahat-CHANDRANIGAHAPUR	254.0
Rautahat-DEBAHI	54.0
Rautahat-DHARAMPUR	108.0
Rautahat-DHARHARI	27.0
Rautahat-DIPAHI	39.0
Rautahat-DUMARIYA (MATIAUNA)	201.0
Rautahat-DUMRIYA(PAROHA)	34.0
Rautahat-FATUHAMAHESHPUR	48.0
Rautahat-FATUWAHARSAHA	24.0
Rautahat-GADHI(BHANAWANPUR)	16.0
Rautahat-GAMHARIYABIRTA	70.0
Rautahat-GAMHARIYAPARSA	92.0
Rautahat-GANGAPIPARA	39.0
Rautahat-GARUDABAIRIYA	38.0
Rautahat-GAUR MUNICIPALITY	872.0
Rautahat-GEDAHIGUTHI	39.0
Rautahat-HADIRYAPALTUWA	53.0
Rautahat-HAJMINIYA	58.0
Rautahat-HATHIYAHI	48.0
Rautahat-IHARBARIJYUTAHI	78.0
Rautahat-INARUWA	39.0
Rautahat-JATAHARA	95.0
Rautahat-JAYANAGAR	58.0
Rautahat-JETHRAHIYA	35.0
Rautahat-JHUNKHUNWA	82.0
Rautahat-JINGADAWABELBICHWA	64.0
Rautahat-JOWAHA (JOKAHA)	74.0
Rautahat-JUDIBELA	74.0
Rautahat-KAKANPUR	120.0
Rautahat-KARKACHKARMAIYA	67.0
Rautahat-KARUNIYA	74.0
Rautahat-KATAHARIYA	90.0
Rautahat-KHESARHIYA	37.0
Rautahat-LAXMIPUR BELBICHAWA	36.0
Rautahat-LOKAHA	42.0
Rautahat-MADHOPUR	66.0
Rautahat-MAHAMADPUR	68.0
Rautahat-MALAHI	24.0
Rautahat-MARYADPUR	66.0
Rautahat-MASEDAWA	73.0
Rautahat-MATHIYA	66.0
Rautahat-MATSARI	65.0
Rautahat-MITHUAWA	52.0
Rautahat-MUDWALAWA	45.0
Rautahat-NARKATIYA GUTHI	25.0
Rautahat-PACHARUKHI	74.0
Rautahat-PATAURA	87.0
Rautahat-PATHARABUDHA RAMPUR	63.0
Rautahat-PAURAI	131.0
Rautahat-PIPARA POKHARIYA	69.0
Rautahat-PIPARIYA (DOSTIYA)	38.0
Rautahat-PIPARIYA (PAROHA)	62.0
Rautahat-PIPRA BHAGWANPUR	66.0
Rautahat-PIPRA RAJBARA	81.0
Rautahat-POTHIYAHI	98.0
Rautahat-PRATAPPUR PALTUWA	71.0
Rautahat-PREMPUR GUNAHI	89.0
Rautahat-RAGHUNATHPUR	73.0
Rautahat-RAJDEVI	63.0
Rautahat-RAJPUR FARHADAWA	217.0
Rautahat-RAJPURTULSI	58.0
Rautahat-RAMOLIBAIRIYA	56.0
Rautahat-RAMPURKHAP	49.0
Rautahat-RANGAPUR	65.0
Rautahat-SAKHUAWA	52.0
Rautahat-SAKHUWA DHAMAURA	124.0
Rautahat-SAMANPUR	66.0
Rautahat-SANGRAMPUR	67.0
Rautahat-SANTAPUR (DOSTIYA)	72.0
Rautahat-SANTPUR (MATIAUN)	186.0
Rautahat-SARMUJAWA	84.0
Rautahat-SARUATHA	94.0
Rautahat-SAUNARANIYA	59.0
Rautahat-SHITALPUR BAIRGANIA	83.0
Rautahat-SIMARA BHAWANIPUR	90.0
Rautahat-TEJAPAKAR	49.0
Rautahat-TENGRAHA	48.0
Rolpa-ARESH	49.0
Rolpa-BHAWANG	67.0
Rolpa-BHIRUL	38.0
Rolpa-BUDAGAUN	77.0
Rolpa-DHAWANG	76.0
Rolpa-DUBARING	79.0
Rolpa-DUBIDANDA	65.0
Rolpa-ERIWANG	68.0
Rolpa-FAGAAM	45.0
Rolpa-GAAM	73.0
Rolpa-GAIRIGAUN	65.0
Rolpa-GAJUL	87.0
Rolpa-GHARTIGAUN	61.0
Rolpa-GHODAGAUN	57.0
Rolpa-GUMCHAL	62.0
Rolpa-HARJANG	45.0
Rolpa-JAILWANG	52.0
Rolpa-JAIMAKASALA	55.0
Rolpa-JANKOT	46.0
Rolpa-JAULIPOKHARI	76.0
Rolpa-JEDWANG	55.0
Rolpa-JHENAM	100.0
Rolpa-JINAWANG	74.0
Rolpa-JUNGAR	61.0
Rolpa-KARETI	30.0
Rolpa-KHUMEL	58.0
Rolpa-KHUNGRI	71.0
Rolpa-KORCHAWANG	66.0
Rolpa-KOTGAUN	80.0
Rolpa-KURELI	48.0
Rolpa-LIWANG	164.0
Rolpa-MASINA	86.0
Rolpa-MIJHING	111.0
Rolpa-NUWAGAUN	57.0
Rolpa-PACHHAWANG	67.0
Rolpa-PAKHAPANI	71.0
Rolpa-PANG	86.0
Rolpa-RANGKOT	56.0
Rolpa-RANGSI	70.0
Rolpa-RANK	70.0
Rolpa-SAKHI	54.0
Rolpa-SERAM	37.0
Rolpa-SIRPA	93.0
Rolpa-SIURI	29.0
Rolpa-TALAWANG	83.0
Rolpa-TEWANG	42.0
Rolpa-THAWANG	53.0
Rolpa-UWA	65.0
Rolpa-WADACHAUR	92.0
Rolpa-WHAMA	68.0
Rolpa-WOT	66.0
Rukum-AATHBISDANDA	55.0
Rukum-AATHBISKOT	94.0
Rukum-ARMA	62.0
Rukum-BAFLIKOT	89.0
Rukum-BHALAKACHA	41.0
Rukum-CHAURJAHARI	111.0
Rukum-CHHIWANG	57.0
Rukum-CHOKHAWANG	43.0
Rukum-CHUNWANG	50.0
Rukum-DULI	67.0
Rukum-GARAYALA	83.0
Rukum-GAUTAMKOT	86.0
Rukum-GHETMA	66.0
Rukum-HUKAM	40.0
Rukum-JANG	41.0
Rukum-JHULA	53.0
Rukum-KANDA	53.0
Rukum-KANKRI	72.0
Rukum-KHARA	80.0
Rukum-KHOLAGAUN	50.0
Rukum-KOL	53.0
Rukum-KOTJAHARI	47.0
Rukum-MAGMA	77.0
Rukum-MAHAT	57.0
Rukum-MORAWANG	30.0
Rukum-MURU	48.0
Rukum-MUSIKOTKHALANGA	167.0
Rukum-NUWAKOT	69.0
Rukum-PIPAL	74.0
Rukum-POKHARA	75.0
Rukum-PURTIMKANDA	64.0
Rukum-PWANG	31.0
Rukum-PYAUGHA	53.0
Rukum-RANGSI	31.0
Rukum-RANMAMAIKOT	26.0
Rukum-RUGHA	52.0
Rukum-SANKHA	88.0
Rukum-SIMLI	72.0
Rukum-SISNE	18.0
Rukum-SOBHA	97.0
Rukum-SYALAGADI	63.0
Rukum-SYALAPAKHA	105.0
Rukum-TAKSERA	60.0
Rupandehi-AAMA	96.0
Rupandehi-AANANDABAN	156.0
Rupandehi-AMUWA	126.0
Rupandehi-ASURENA	75.0
Rupandehi-BAGAHA	36.0
Rupandehi-BAGAULI	91.0
Rupandehi-BAIRGHAT	56.0
Rupandehi-BASANTAPUR	66.0
Rupandehi-BETAKUIYA	43.0
Rupandehi-BHAGAWANPUR	90.0
Rupandehi-BISUNPURA	161.0
Rupandehi-BODABAR	67.0
Rupandehi-BOGADI	123.0
Rupandehi-BUTAWAL MUNICIPALITY	10,801.0
Rupandehi-CHHIPAGADA	71.0
Rupandehi-CHHOTAKI RAMNAGAR	52.0
Rupandehi-CHILHIYA	55.0
Rupandehi-DAYANAGAR	116.0
Rupandehi-DEVADAHA	361.0
Rupandehi-DHAKADHAI	54.0
Rupandehi-DHAMAULI	47.0
Rupandehi-DUDHARAKCHHE	207.0
Rupandehi-EKALA	90.0
Rupandehi-FARENA	49.0
Rupandehi-GAJEDI	161.0
Rupandehi-GANGOLIYA	49.0
Rupandehi-GONAHA	125.0
Rupandehi-HARNAIYA	53.0
Rupandehi-HATIBANGAI	81.0
Rupandehi-HATIPHARSATIKAR	26.0
Rupandehi-JOGADA	75.0
Rupandehi-KAMAHARIYA	149.0
Rupandehi-KARAHIYA	233.0
Rupandehi-KARAUTA	89.0
Rupandehi-KERBANI	202.0
Rupandehi-KHADAWABANGAI	86.0
Rupandehi-KHUDABAGAR	40.0
Rupandehi-LUMBINI	70.0
Rupandehi-MADHBALIYA	79.0
Rupandehi-MADHUWANI	51.0
Rupandehi-MAINAHIYA	68.0
Rupandehi-MAJHAGAWA	68.0
Rupandehi-MAKRAHAR	225.0
Rupandehi-MANMATERIYA	92.0
Rupandehi-MANPAKADI	61.0
Rupandehi-MARYADPUR	49.0
Rupandehi-MASINA	46.0
Rupandehi-MOTIPUR	98.0
Rupandehi-PADSARI	91.0
Rupandehi-PAJARKATTI	51.0
Rupandehi-PAKADISAKRON	51.0
Rupandehi-PARROHA	332.0
Rupandehi-PATEKHOULI	63.0
Rupandehi-POKHARVINDI	55.0
Rupandehi-RAYAPUR	91.0
Rupandehi-ROINIHAWA	38.0
Rupandehi-RUDRAPUR	259.0
Rupandehi-SADI	71.0
Rupandehi-SALJHUNDI	157.0
Rupandehi-SAMERAMARCHWAR	53.0
Rupandehi-SEMALAR	136.0
Rupandehi-SHANKARNAGAR	213.0
Rupandehi-SIDDHARTH NAGAR MUNICIPALITY	5,890.0
Rupandehi-SIKATAHAN	122.0
Rupandehi-SILAUTIYA	107.0
Rupandehi-SIPAWA	79.0
Rupandehi-SOURAHAPHARSATIKAR	106.0
Rupandehi-SURYAPURA	232.0
Rupandehi-TENUHAWA	83.0
Rupandehi-THUMHAWA PIPRAHAWA	52.0
Rupandehi-TIKULIGADH	158.0
Salyan-BAJHKANDA	7.0
Salyan-CHHAYACHHETRA	59.0
Salyan-DAMACHAUR	79.0
Salyan-DANDAGAUN	27.0
Salyan-DHANWANG	83.0
Salyan-KAJERI	72.0
Salyan-KALIMATI KALCHE	27.0
Salyan-KALIMATI RAMPUR	33.0
Salyan-KAVRA	19.0
Salyan-KHALANGA	117.0
Salyan-KORBANG JHIMPE	8.0
Salyan-LEKHPOKHARA	11.0
Salyan-MARKE	49.0
Salyan-NIGALCHULA	5.0
Salyan-PHALAWANG	68.0
Salyan-SAIJUWAL TAKURA	64.0
Salyan-SARPANIGARPA	72.0
Salyan-THARMARE	13.0
Salyan-TRIBENI	77.0
Sankhuwasabha-9001	126.0
Sankhuwasabha-BAHRABISE	52.0
Sankhuwasabha-BALA	47.0
Sankhuwasabha-BANA	85.0
Sankhuwasabha-BANESWOR	83.0
Sankhuwasabha-CHAINPUR	91.0
Sankhuwasabha-CHEPUWA	24.0
Sankhuwasabha-DHUPU	75.0
Sankhuwasabha-DIDING	44.0
Sankhuwasabha-HATIYA	51.0
Sankhuwasabha-JALJALA	94.0
Sankhuwasabha-KEEMATHNKA	8.0
